what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415137047463
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415137053076
error,log,,,"Server Tomcat v7.0 Server at localhost failed to start.",1415137053086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137053156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137053206
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415137053206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137054778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137054909
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415137072334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137074298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137075288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137075328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137075458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415137075468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137077079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137077929
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415137079799
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.debug",1415137082839
error,log,,,"Server Tomcat v7.0 Server at localhost failed to start.",1415137090305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137090385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137092035
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415137092485
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415137154090
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1415137158042
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415137181826
closed,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1415137181826
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415137184865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137190089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137191997
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415137193099
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415137205638
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415137208094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137225609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137252598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1415137252608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137260405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137283298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1415137283318
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415137284198
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1415137285408
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415137288611
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415137295196
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415137296736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137299070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137308248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137327455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415137349732
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415137368193
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1415137369863
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415137370514
